"model","chunk_words","overlap_words","k","split","question_id","question","expected_pages","evidence_hit","page_hit","first_evidence_rank","first_page_rank","reciprocal_rank","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question"
"all-minilm","200","0","1","development","Q001","How are the inverse coefficients 1/H and 1/R interpreted in isotropic soil consolidation?","300","False","True","2","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q001","How are the inverse coefficients 1/H and 1/R interpreted in isotropic soil consolidation?","300","True","True","2","1","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q001","How are the inverse coefficients 1/H and 1/R interpreted in isotropic soil consolidation?","300","True","True","2","1","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q001","How are the inverse coefficients 1/H and 1/R interpreted in isotropic soil consolidation?","300","True","True","2","1","0.5","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q002","How did Heinrich and Desoyer change their porous-skeleton assumptions between their 1955 and 1956 groundwater-flow models?","310","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q002","How did Heinrich and Desoyer change their porous-skeleton assumptions between their 1955 and 1956 groundwater-flow models?","310","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","development","Q002","How did Heinrich and Desoyer change their porous-skeleton assumptions between their 1955 and 1956 groundwater-flow models?","310","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","development","Q002","How did Heinrich and Desoyer change their porous-skeleton assumptions between their 1955 and 1956 groundwater-flow models?","310","True","True","1","1","1.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","test","Q003","Why does the treatment of the unjacketed test in Biot and Willis raise concerns about its constitutive parameters?","308,309","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","test","Q003","Why does the treatment of the unjacketed test in Biot and Willis raise concerns about its constitutive parameters?","308,309","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","5","test","Q003","Why does the treatment of the unjacketed test in Biot and Willis raise concerns about its constitutive parameters?","308,309","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","10","test","Q003","Why does the treatment of the unjacketed test in Biot and Willis raise concerns about its constitutive parameters?","308,309","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","1","development","Q004","How are grain-induced forces represented when Heinrich and Desoyer pass from micro-flow to macro-flow?","310","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
"all-minilm","200","0","3","development","Q004","How are grain-induced forces represented when Heinrich and Desoyer pass from micro-flow to macro-flow?","310","False","True","","1","0.0","384","512","286","7.897197","0.440551","0.156294"
